Hospital Name,Latitude,Longitude,Average Sentiment,Joy,Sadness,Anger,Fear,Disgust,summary
Massachusetts General Hospital,42.3625449,-71.0693701,0.52642075,0.206638,0.345882,0.096355,0.125143,0.047806,"Dr. Bradley Bousquet's precision and skill were evident in every stitch and suture. He treated my dad with the utmost respect and dignity, making him feel valued as a person, not just a patient. MGH food service leadership from the TOP DOWN needs to demand all new hires must be cheerful."
Brigham & Women's Hospital,42.336125,-71.10749,0.542105625,0.235446,0.3167,0.092379,0.140191,0.055669,"If you have a complex case or illness, Boston is the place to be. The ER appears to be recently remodeled. However, the rooms in the tower are just beyond tiny. The hospital food is beyond inedible."
Beth Israel Deaconess Medical Center,42.339749,-71.105063,0.554154375,0.255315,0.341194,0.088589,0.097862,0.06038,"Beth Israel Deaconess Medical Center has the kindest employees of any major Boston hospital. The ER nurses, especially the overnite nurse (Tamba, spelling?) was especially hospitable, kind, and even gave me two toasty warm blankets. A patient was denied a rheumatology appointment because ""they don't treat Fibromyalgia"""
New England Baptist Hospital,42.32964917401517,-71.10739703940088,0.594119375,0.318545,0.310544,0.06544,0.108852,0.036389,'The radiology department is very disorganized' 'The people behind the registration desk at radiology were more interested in talking to each other than talking to patients' 'I can't say enough good things about Dr Parazin and his staff'
Tufts Medical Center,42.34967902371178,-71.06270248608536,0.56466725,0.27068,0.346397,0.055477,0.11498,0.048528,"Lory was truly so helpful. I cannot describe how grateful I am to have seen her at the front desk of Tufts Med. I believe that she is so aware of the steps needed for any lab test or immunization records. The emergency room is of course busy, but she is composed, friendly, welcoming, and humble with her intelligence. I recommend this place 11 out of 10!! Huge applaud to Lory again!!"
Boston Medical Center,42.3348393533469,-71.0729983455118,0.53289025,0.212885,0.31171,0.100131,0.113131,0.063446,"Boston Medical Center Hospital has been accused of malpractice. One patient was charged $700 for a ""new patient"" charge. Another patient was not responsive to patients' requests for referrals."
Boston Medical Center,42.3348393533469,-71.0729983455118,0.53289025,0.212885,0.31171,0.100131,0.113131,0.063446,"Boston Medical Center Hospital has been accused of malpractice. One patient was charged $700 for a ""new patient"" charge. Another patient was not responsive to patients' requests for referrals."
Boston Medical Center,42.3344959,-71.07313,0.559596375,0.255906,0.284884,0.07344,0.133407,0.055122,"""Boston Medical Center is by far the best in Boston. Best staff, experience, customer service, health plan, and hospital in Boston, all of New England, and the east coast!"" ""My husband has been not the same since 2021. Crying of the pain EVERYDAY 24/7. Other doctor told me not to google up with my education in Biology background. He realized I was right it is this pancreas. Damaged and Done for Lifetime"""
Boston Medical Center,42.3344959,-71.07313,0.559596375,0.255906,0.284884,0.07344,0.133407,0.055122,"""Boston Medical Center is by far the best in Boston. Best staff, experience, customer service, health plan, and hospital in Boston, all of New England, and the east coast!"" ""My husband has been not the same since 2021. Crying of the pain EVERYDAY 24/7. Other doctor told me not to google up with my education in Biology background. He realized I was right it is this pancreas. Damaged and Done for Lifetime"""
Dana-Farber Cancer Institute,42.3374895,-71.1081414,0.608588,0.342195,0.308957,0.055453,0.098661,0.037005,"The upside to Dana Farber Cancer Institute is that it has the best cancer doctors on Earth. The downside is that its pharmacy is often overwhelmed, understaffed and several hours behind. If you want to do a good job? Do the work!"
St Elizabeth's Medical Center,42.34891111761646,-71.14802176450942,0.502037,0.169735,0.365433,0.111583,0.149788,0.03584,"St Elizabeth's in Brighton, New York, is a top-rated hospital. The doctors and nurses at St. Elizabeth's were compassionate and validated the severity of my illness and worked hard to get me comfortable."
Lahey Hospital & Medical Center,42.484322,-71.204216,0.585486375,0.304181,0.335572,0.058089,0.110846,0.028326,The level of compassion demonstrated by the hospital staff was simply remarkable. They genuinely cared about not only my mother's physical well-being but also her emotional and psychological state. The administrative staff played a crucial role in facilitating communication and addressing any concerns.
Boston Children's Hospital,42.33742836759205,-71.10487526556975,0.613206125,0.349245,0.272898,0.059977,0.106342,0.052114,'Dr. Clement Lee will upload your birth plan to Twitter for clout while mocking your personal choices' 'Dr. Mark Alexander spent 15 minutes at my bedside trying to convince me to go home at the height of a major winter storm last February' 'I would not recommend this hospital'
Mount Auburn Hospital,42.37420216360782,-71.13421700225402,0.527156375,0.209141,0.318164,0.121351,0.132926,0.046872,"'Everyone knows the ED is bad as far as waiting but to add bad customer service to the mix borders the line of unprofessionalsim' 'I sat there for 3 hours and when I tried to get information to pass on to a Triage Nurse I was on the phone with from the VA to see if I should seek treatment elsewhere I was met with attitude and no help' 'They served ice cold side of collard greens and couldn\'t make grilled cheese with gluten free breads because "" the cheese doesn\'t melt!""'"
McLean Hospital,42.39322,-71.19091,0.57669,0.30008,0.303383,0.1125,0.113478,0.057439,The staff at inpatient is incredible both in Belmont and Southeast. The facilities and structure of inpatient at Southeast is notably worse. Outpatient partial programs are informative and tailored to your diagnosis but they seem to be completely restricted to those who have money.
Massachusetts General Hospital Yawkey Outpatient Care Center,42.3615440978747,-71.0698056221008,0.636505375,0.388813,0.22747,0.062013,0.130805,0.042921,"MA Gen has set up the Yawkey Outpatient Care Center in such a way that they actually make your experience, well, pleasant. Before every treatment two nurses verify the patient ID and medication they are to receive to be sure there are no mix-ups."
NEW Health,42.36476308180352,-71.05370366441785,0.55764725,0.252225,0.247811,0.134572,0.100279,0.06506,"'The dental department here is remarkably backwards in technology. Expect nothing more than mediocrity from this location' 'Dr. McLoughlin was my doctor, not sure if I have even seen her in years because one would have to be literally dying to even get a spot on her calendar' 'If you can schedule an appointment to see your doctor without scheduling a year in advance consider yourself blessed'"
CHA Cambridge Hospital,42.37442,-71.10444,0.53445475,0.223127,0.408661,0.068497,0.106103,0.033609,"'I can't speak highly enough about our experience on the 6th floor/Med Surg over the Thanksgiving Day week. Our team of doctors, Dr. Kim and Dr.Ue, are from the Harvard school of Medicine and were incredibly kind, patient and knowledgeable' 'I had a very bad experience here and care not to share the details. Would not recommend.', 'One of the worst hospitals in New England.How does a hospital not have ANY wheelchairs?!My poor mother in law had to suffer not once, not twice but THREE TIMES coming to this broken down hospital'"
Brigham and Women's Faulkner Hospital,42.3003492,-71.1278672,0.5391515,0.222584,0.312927,0.101194,0.108096,0.054907,"""I trusted Brighams & Womens during my whole pregnancy and was so happy the amount of care they have taken with my husband during his cancer diagnosis, removal and treatment"" ""Dr Wren is the most unprofessional Doctor on this planet she needs to be Fired and no longer needs to practice she is a Danger to patients she is nasty and disgusting doesn't listen to you"" ""The cafeteria chicken tendies were exceptional. They've downgraded in quality twice over the past year or 2 and now they are awful. Highly disappointing"""
Newton-Wellesley Hospital,42.331193,-71.24504,0.5762935,0.289292,0.288598,0.0981,0.12838,0.031742,"'Plan on getting mistreated after surgery, after you and your insurance pay them' 'This hospital and its protocols are severely deficient and need to be reviewed immediately' 'Pediatric ER operates efficiently, gets you transfer, in a room, and out with an accurate diagnosis'"
Tufts Children’s Hospital,42.3501855,-71.0635904,0.5953222499999999,0.325478,0.262875,0.099093,0.136025,0.041341,"The hospital is and dose AMAZING work for kids. The only issue I have is parking! We got here around 11:30am and I ended up in the last spot on the 8th floor! It's crazy every single spot was filled! Also, definitely the most expensive hospital I've been to for parking even with the ticket validated."
Lemuel Shattuck Hospital,42.29934647496142,-71.10167234110442,0.521571125,0.204791,0.291101,0.126067,0.123646,0.105781,The Mirasol center for healing is located in the building of the Shattuck. It's all female or who identify as female detox / CSS. The case workers were amazing along with the recovery advocates. The clinical director means well and wants a beautiful program.
Winchester Hospital,42.46596092103941,-71.1227168569199,0.5338805,0.216277,0.32348,0.090245,0.112286,0.068053,'SCAM!!! DO NOT GO HERE. AT ALL COSTS' 'I regret ever coming here in the first place' 'They gaslighted me and told me that the splint couldn\'t even possibly exist'
Lawrence Memorial Hospital,42.4262974,-71.1111054,0.565021125,0.271304,0.316611,0.071739,0.128323,0.048374,"Lawrence Memorial used to be a notoriously terrible hospital. They got rid of their emergency room, they've hired lots of new staff, did remodeling. The urgent care clinic is a real asset to the community."
Beth Israel Deaconess Urgent Care at Chelsea,42.40277,-71.02011,0.606615,0.348163,0.31995,0.064241,0.126024,0.029517,"'I was seen within 5 minutes of registering and was out in under an hour' 'The nurses were so nice, and the doctor was very thorough' 'I always prefer to go here for urgent care over my own doctor!' 'They are attentive and insightful and I always get the care I need!'"
MGH Medical Walk-In Unit,42.3625,-71.06825,0.52424675,0.199748,0.323897,0.08685,0.156149,0.038122,"""I would highly recommend this walk-in clinic if you need to go somewhere that is non-emergency"" ""I only come here when I have literally no other choice and even then I'd rather suffer than be here"" ""Do Not and i repeat do not go here... the doctors are so rude and inconsiderate to your feelings and make you so uncomfortable"""
Waltham Walk-In,42.3690147399902,-71.2491455078125,0.572310375,0.285221,0.26386,0.108974,0.143118,0.046449,"'Super impressed by this facility! Every single person with whom I interacted was nice and professional' 'Horrible place, will never go back there. Slower than waiting at the ER.. Zero communication between doctors and nurses' 'We waited over two hours for my daughter to receive an antibiotic shot'"
Melrose-Wakefield Hospital,42.459937082368,-71.060937646258,0.5168155,0.19888,0.352813,0.101816,0.131597,0.07477,Dr. Mina Safain in Melrose is amazing. He pulled up my scans and explained to me why I am still in pain. He gave me pain management options (cortisol injections) which may help short term.
Bosley Medical - Boston,42.35062149349779,-71.0765653,0.588748375,0.303606,0.301476,0.084792,0.089527,0.028642,"Dr. Lytle shows genuine care and interest in her patient's health and well being. She always asks questions and actually takes time to listen, which is rare form these days. She also prides herself on being on time and doesn't like her patients to wait."
Beth Israel Deaconess Hospital-Needham,42.277285,-71.236662,0.481093125,0.127927,0.416877,0.082149,0.138432,0.025505,"The check-in process was quick, the waiting room was almost empty, and I got into a room quickly. The doctor was pretty straight-forward, and answered my questions when I asked them. I'd opt for the Boston BIDMC ER to have access to a wider range of specialists."
