Hospital Name,Latitude,Longitude,Average Sentiment
Massachusetts General Hospital,42.3625449,-71.0693701,9.787302627108158
Brigham & Women's Hospital,42.336125,-71.10749,7.410166354907846
Beth Israel Deaconess Medical Center,42.339749,-71.105063,2.79306659115511
New England Baptist Hospital,42.32964917401517,-71.10739703940088,7.81726938101588
Tufts Medical Center,42.34967902371178,-71.06270248608536,3.3395765037676535
Boston Medical Center,42.3348393533469,-71.0729983455118,8.064588144600558
Boston Medical Center,42.3348393533469,-71.0729983455118,8.606870856570604
Boston Medical Center,42.3344959,-71.07313,6.580577399859712
Boston Medical Center,42.3344959,-71.07313,9.372164657911657
Dana-Farber Cancer Institute,42.3374895,-71.1081414,1.2377188584420824
St Elizabeth's Medical Center,42.34891111761646,-71.14802176450942,8.450608730019173
Lahey Hospital & Medical Center,42.484322,-71.204216,3.1525844125890545
Boston Children's Hospital,42.33742836759205,-71.10487526556975,4.8119686886615956
Mount Auburn Hospital,42.37420216360782,-71.13421700225402,6.907057336887545
McLean Hospital,42.39322,-71.19091,4.519050237957089
Massachusetts General Hospital Yawkey Outpatient Care Center,42.3615440978747,-71.0698056221008,2.1025609720742082
NEW Health,42.36476308180352,-71.05370366441785,8.743789297875352
CHA Cambridge Hospital,42.37442,-71.10444,2.370040953259096
Brigham and Women's Faulkner Hospital,42.3003492,-71.1278672,6.3205838927302285
Newton-Wellesley Hospital,42.331193,-71.24504,9.658297869145075
Tufts Children’s Hospital,42.3501855,-71.0635904,8.662251536585899
Lemuel Shattuck Hospital,42.29934647496142,-71.10167234110442,4.917775728095384
Winchester Hospital,42.46596092103941,-71.1227168569199,4.591460221270911
Lawrence Memorial Hospital,42.4262974,-71.1111054,2.8928359568512954
Beth Israel Deaconess Urgent Care at Chelsea,42.40277,-71.02011,9.184013847816416
MGH Medical Walk-In Unit,42.3625,-71.06825,3.6795644729253656
Waltham Walk-In,42.3690147399902,-71.2491455078125,7.181606881050039
Melrose-Wakefield Hospital,42.459937082368,-71.060937646258,5.6529133645219325
Bosley Medical - Boston,42.35062149349779,-71.0765653,6.587272789933617
Beth Israel Deaconess Hospital-Needham,42.277285,-71.236662,6.3508591882615955
Beth Israel Deaconess HealthCare,42.2737095487723,-71.0697983709587,9.514189155869296
Carney Hospital,42.277399,-71.065257,1.5066620144218332
Kenmore - Harvard Vanguard,42.34543692085504,-71.10068165214048,9.570981889390579
Beth Israel Deaconess Hospital,42.253611,-71.076789,6.840667225155995
Shriners Hospitals for Children,42.36305,-71.06644,8.92457690097222
Fenway Health,42.3440775,-71.0989879,4.496776818370707
Mt Auburn Hospital,42.36444,-71.13513,9.634077940617022
Malden Medical Center,42.4305229187012,-71.0575561523438,4.376358866262169
Harvard University Health Services,42.372236,-71.118665,5.353915661187485
CHA Somerville Campus,42.3904817,-71.1088964,5.1675264595814365
Massachusetts General Hospital West,42.39591,-71.2636,2.9090482490804055
CHA Everett Hospital,42.409746,-71.03922,3.23725996339519
Arbour-HRI Hospital,42.35074,-71.12113,6.159512883701376
CHA Cambridge Birth Center,42.37442,-71.10444,9.766831205108412
East Boston Neighborhood Health Center,42.37233,-71.03831,8.703067484252994
Bournewood Hospital,42.298314,-71.149345,4.41719580868837
Boston STD Clinic,42.3331427,-71.0731756,6.1249258579019985
South Boston Community Health Center,42.33671,-71.0482,6.714364301492289
South Cove Community Health Center,42.34799,-71.06498,2.227318228635423
Mass General Medical Group,42.36252,-71.06434,8.05964663256075
VA Hospital,42.326987,-71.110637,2.9782442610265516
MIT Medical,42.361309,-71.0866,6.62276236900109
